index,middle,ring,pinky
675,710,804,376
675,709,805,374
674,709,806,374
674,709,806,374
674,709,806,374
674,709,806,374
675,709,806,374
674,709,806,374
674,709,806,374
674,709,806,374
674,709,806,374
675,710,806,374
674,709,806,374
674,709,805,375
674,710,805,374
674,709,806,374
674,710,806,374
675,709,805,374
674,710,805,374
675,709,806,374
672,707,810,370
675,708,807,373
673,706,811,370
672,709,808,372
674,711,803,377
676,711,801,378
677,712,802,377
673,708,809,371
673,708,810,371
676,711,801,378
676,711,801,378
673,709,810,371
675,711,802,376
675,708,806,372
673,709,808,372
675,709,806,374
675,709,806,374
674,709,806,374
674,709,806,374
675,710,805,375
674,710,806,374
674,710,806,374
675,709,806,374
674,709,805,374
674,708,808,373
674,708,808,371
675,711,803,376
675,711,803,376
675,708,809,371
674,707,808,372
676,711,803,377
676,711,802,377
674,709,808,373
672,708,809,371
676,710,804,376
675,708,808,372
674,708,808,372
673,709,806,375
675,711,803,377
674,709,805,374
675,710,805,374
675,710,805,374
674,709,806,375
675,709,805,374
674,709,805,374
674,709,806,374
675,710,805,374
674,709,806,374
675,709,806,374
675,708,806,373
674,710,807,374
674,709,805,374
674,710,805,374
674,709,805,374
674,709,805,374
674,709,806,373
674,709,806,374
674,709,805,374
674,709,806,373
675,709,805,375
674,710,804,375
674,709,807,372
674,709,806,374
674,708,807,373
674,710,805,375
675,710,804,376
674,708,807,373
673,709,807,373
674,710,803,376
674,708,807,372
674,709,807,373
675,710,803,375
675,710,804,376
676,709,805,375
675,708,807,374
675,709,806,374
674,710,805,375
673,709,805,374
674,708,806,374
674,710,805,374
674,709,805,374
674,709,806,375
674,709,806,374
674,709,806,374
674,709,806,374
675,708,805,374
674,709,805,373
674,709,806,374
674,710,806,373
674,710,805,374
674,709,805,374
675,709,805,374
674,709,805,374
674,709,805,374
674,712,800,378
676,709,803,377
675,707,809,371
674,707,810,370
673,711,803,376
675,712,800,379
676,709,805,375
674,706,810,371
674,707,808,374
674,707,810,370
674,707,810,369
676,712,800,379
675,712,800,379
673,707,811,370
673,706,811,369
675,709,805,375
674,709,805,374
674,708,807,374
674,708,806,373
674,710,805,375
