index,middle,ring,pinky
801,823,761,357
800,826,762,358
801,826,762,359
,,,,
805,825,759,361
807,824,760,361
806,822,757,363
806,825,757,362
807,824,756,363
806,824,758,363
807,824,757,363
806,824,757,362
806,822,758,362
806,824,758,362
807,823,757,362
806,824,757,363
807,824,757,362
806,823,757,362
807,824,757,363
805,824,758,363
807,825,758,363
807,823,757,362
807,823,758,363
807,824,757,362
806,824,758,362
806,824,758,362
806,823,758,361
806,824,757,362
807,823,758,363
807,824,758,363
806,823,758,363
807,824,757,363
807,823,757,362
807,823,757,362
807,824,757,362
807,823,757,363
807,824,757,362
808,823,758,362
807,823,757,362
807,823,758,363
807,824,758,362
807,823,757,362
806,823,758,362
807,823,758,362
807,822,757,362
806,824,759,362
807,823,758,362
806,823,757,363
806,824,757,362
806,823,758,362
806,823,758,362
807,823,759,362
806,823,757,363
807,823,757,363
807,824,757,363
806,824,757,364
807,824,759,361
807,823,758,363
806,823,757,362
807,824,757,362
806,823,758,363
807,824,758,362
807,823,757,363
806,824,758,362
807,823,758,362
807,824,758,362
807,823,758,362
807,824,758,362
807,824,757,362
807,824,758,362
807,823,757,363
806,823,758,362
807,824,758,362
808,823,758,363
806,824,757,364
806,825,756,363
808,824,761,360
808,825,757,362
807,823,755,365
806,825,758,363
807,827,754,367
808,828,761,360
805,821,753,356
808,821,758,362
807,827,762,358
809,821,751,369
807,828,763,357
809,822,765,357
804,821,753,369
805,826,755,365
807,825,761,361
808,824,761,359
807,820,760,359
807,819,759,363
804,824,751,369
807,824,760,360
806,822,759,362
805,823,756,364
806,825,760,359
806,821,756,364
806,823,757,363
807,823,756,364
807,824,758,362
807,823,757,362
806,823,758,362
806,823,758,362
806,823,758,363
806,823,758,362
807,823,758,362
806,823,757,363
807,823,758,363
806,823,758,362
806,823,758,361
806,823,758,362
807,823,757,362
806,823,758,362
807,823,758,362
807,823,758,362
807,824,757,362
806,823,759,362
807,823,758,362
806,823,758,362
807,823,758,362
806,824,758,362
807,823,758,362
807,823,759,362
807,823,758,363
806,824,757,362
806,823,757,362
806,824,758,362
806,823,758,362
807,824,758,362
806,823,758,362
807,823,757,363
807,823,758,363
807,823,758,362
807,824,758,362
807,823,758,362
806,823,758,362
806,823,758,363
806,823,758,363
807,823,758,362
807,823,758,363
807,823,758,361
806,823,758,362
