index,middle,ring,pinky
689,734,772,827
691,735,771,826
690,733,772,827
,,,,
616,725,772,836
618,725,770,837
618,725,770,837
617,724,770,836
615,725,773,833
615,725,770,835
614,725,772,837
614,725,773,834
615,725,770,836
614,725,772,835
615,726,769,837
615,726,770,837
613,725,772,835
613,726,771,834
614,725,772,835
613,726,769,837
614,726,769,837
611,724,774,834
613,726,770,836
613,725,770,836
611,725,772,835
611,725,771,835
611,725,772,836
611,725,772,835
610,725,772,835
612,725,772,835
610,725,772,835
610,725,771,836
609,725,772,836
609,725,772,835
609,725,771,835
609,725,770,836
608,725,772,835
607,726,772,835
608,725,771,836
608,726,771,836
608,725,772,836
606,725,771,835
608,725,771,836
608,726,771,836
607,725,772,834
607,725,771,836
606,725,771,836
606,725,772,836
606,725,772,836
606,725,772,835
605,725,772,835
606,725,771,835
605,726,772,836
606,725,771,835
605,725,772,836
604,725,772,836
605,725,771,836
604,725,772,835
604,725,772,836
603,725,772,835
603,725,771,836
602,725,771,836
603,725,772,835
603,725,772,836
603,726,771,835
603,725,772,835
602,725,771,836
602,725,772,835
602,725,772,835
602,726,771,835
602,724,772,834
601,725,772,835
602,725,772,835
601,725,772,835
601,725,772,836
602,725,771,836
601,725,772,836
601,725,772,835
601,725,772,836
601,725,772,835
601,725,772,835
601,725,772,835
600,725,771,835
600,724,772,835
601,725,772,835
600,725,772,835
601,726,771,836
600,725,772,836
600,725,771,836
599,725,771,835
597,723,776,831
598,727,769,837
601,727,767,840
603,725,770,836
601,722,776,833
595,725,775,832
601,728,765,841
603,728,764,841
600,723,771,835
599,725,768,837
602,723,773,834
601,723,774,836
597,727,767,838
597,727,770,837
601,721,776,831
597,723,774,834
600,727,766,840
600,725,771,836
598,724,774,834
598,726,770,836
599,725,769,836
597,724,773,834
598,726,770,837
599,724,772,835
597,724,772,835
599,725,770,837
599,725,772,835
599,726,769,837
598,725,771,835
598,725,771,836
597,725,771,836
598,725,771,836
598,724,772,836
598,725,772,835
598,725,771,835
598,725,772,836
598,725,770,836
597,725,772,836
598,724,771,836
598,724,771,836
597,725,772,836
597,725,772,835
597,725,772,835
597,725,770,837
598,725,771,836
597,724,772,835
596,726,772,836
597,724,771,836
597,725,771,836
597,725,771,836
597,724,773,835
597,725,772,835
596,725,771,835
597,725,771,836
597,725,771,836
596,725,772,836
597,724,772,836
597,724,772,835
597,725,771,836
596,724,771,835
596,725,772,835
596,726,771,835
596,725,771,835
596,724,771,836
596,724,771,835
595,725,772,836
597,725,772,836
596,725,772,835
596,725,772,835
596,725,771,835
596,724,772,836
596,725,771,835
595,725,772,835
596,724,770,835
595,725,771,835
596,724,771,835
596,725,771,836
595,724,772,835
596,725,771,836
595,724,771,835
595,725,771,835
596,725,771,835
595,725,772,835
595,725,771,836
596,725,770,835
596,724,772,836
595,725,772,836
594,725,771,836
595,725,772,835
595,724,772,835
594,724,772,836
595,725,772,836
594,725,772,836
595,724,771,835
591,723,776,832
593,726,770,836
596,728,767,840
597,728,764,841
596,729,763,840
596,729,764,842
591,721,779,829
591,722,780,829
598,728,764,842
596,727,764,840
590,724,774,834
592,726,769,840
597,727,764,840
595,720,774,834
591,722,777,831
592,725,773,835
592,725,770,836
595,727,767,839
593,725,773,834
591,723,773,834
,,,,
676,715,773,830
672,717,771,830
671,718,767,833
671,719,764,836
668,719,766,835
667,716,768,832
661,719,767,831
660,718,768,832
659,716,771,832
657,716,771,829
655,716,770,828
656,716,769,832
652,718,769,830
652,716,770,830
650,717,769,831
649,717,768,832
647,717,769,830
647,718,769,832
645,717,769,831
644,717,769,831
642,717,769,832
641,717,769,831
639,717,769,831
637,716,769,830
636,717,769,832
635,717,769,831
634,717,770,830
632,717,770,829
632,717,769,832
631,717,768,832
629,717,770,831
628,716,770,830
627,716,770,832
627,717,769,832
625,717,769,831
624,716,770,829
623,717,768,830
623,717,768,832
622,717,769,832
621,717,768,832
621,715,769,831
621,717,769,831
620,716,768,831
620,717,769,831
619,716,769,831
619,717,769,832
619,716,769,831
618,717,769,831
618,717,769,831
618,717,769,831
618,717,769,831
618,717,769,831
617,717,769,831
617,717,770,830
617,716,770,830
617,716,768,830
617,717,769,831
617,716,768,831
616,716,769,831
616,716,769,830
616,717,769,830
616,717,769,831
616,717,769,832
615,717,769,831
616,716,769,831
615,716,769,830
616,716,769,831
616,716,769,831
616,717,769,831
616,716,768,830
616,716,769,829
615,716,769,831
614,716,771,829
614,716,771,829
618,717,767,833
617,717,767,833
616,716,769,830
617,718,765,834
618,717,767,833
616,715,771,830
615,715,772,828
617,717,766,833
619,718,771,829
616,715,771,829
616,715,772,828
617,718,765,833
615,716,769,829
619,719,763,835
616,713,772,828
616,718,766,833
620,719,763,835
620,716,769,832
616,713,774,827
617,713,775,826
617,718,765,834
622,719,761,837
620,715,769,831
616,716,772,828
615,717,770,831
620,717,768,832
620,716,766,833
618,715,769,832
617,715,770,828
620,717,766,833
620,715,770,830
618,715,770,829
619,717,766,833
620,717,767,832
618,716,769,831
619,716,768,831
619,717,769,831
619,717,769,831
618,716,768,832
618,716,770,831
618,716,770,830
619,717,768,831
619,716,769,831
618,716,768,831
618,716,769,831
618,716,769,830
617,716,769,830
618,715,770,830
617,716,769,830
617,716,769,830
618,717,768,832
618,717,768,831
618,716,769,831
618,716,769,832
617,717,768,831
616,716,770,830
617,716,770,830
616,716,769,830
617,717,769,831
617,716,770,830
617,716,769,830
617,716,769,831
617,716,769,831
617,717,769,831
617,717,768,831
616,716,769,831
617,716,769,830
617,717,769,832
618,717,769,831
616,716,769,831
616,716,769,831
617,716,769,832
616,716,769,831
617,716,769,830
617,716,769,830
617,717,769,831
616,716,769,830
617,717,770,830
616,717,769,831
617,717,769,830
617,717,769,830
616,717,769,830
617,717,769,830
617,717,769,830
616,717,769,831
616,717,769,830
616,717,769,831
616,717,769,831
617,717,769,831
616,717,769,831
616,717,770,831
617,716,769,831
619,717,769,831
616,715,772,828
614,717,769,829
618,719,765,833
618,718,767,832
617,717,771,830
616,718,769,831
617,718,767,833
616,716,772,828
617,716,771,829
617,718,766,833
618,718,769,832
617,716,772,829
615,716,772,828
615,717,770,829
615,715,773,826
613,716,773,827
615,718,769,831
619,720,764,835
620,719,765,832
618,720,765,835
620,720,762,837
610,715,774,826
612,716,773,827
619,717,766,833
618,718,768,832
617,717,768,830
616,719,767,834
619,719,765,835
618,716,770,829
615,717,770,829
617,718,767,832
617,717,769,831
615,716,772,828
,,,,
635,715,767,827
635,715,768,828
636,715,768,827
632,713,770,825
638,714,766,829
638,713,769,826
630,714,771,824
638,715,766,830
635,715,767,829
634,714,768,828
634,714,767,828
634,714,768,827
634,715,767,828
634,714,768,828
635,714,767,827
634,714,768,827
635,714,767,827
634,714,767,827
634,714,767,828
634,714,768,828
634,714,768,828
635,714,768,828
634,713,768,828
634,714,767,828
634,714,768,827
634,713,768,827
633,714,766,827
634,714,766,828
632,714,767,828
634,714,766,828
634,714,767,828
634,714,766,828
634,713,768,827
634,714,768,828
634,714,768,827
635,714,767,827
634,714,767,828
634,714,767,828
633,713,768,827
634,713,767,827
633,713,767,828
634,714,768,827
634,714,768,827
634,714,767,828
634,713,768,828
634,714,768,827
634,713,768,827
634,713,767,827
634,714,768,827
634,714,768,827
634,714,768,827
634,714,768,827
634,713,768,827
636,715,765,829
636,714,766,828
636,715,765,830
636,714,765,830
632,713,769,826
633,713,770,825
635,714,766,829
636,714,766,829
634,714,766,828
635,715,764,830
636,714,765,829
635,712,769,826
633,712,771,825
635,715,765,830
637,714,765,830
634,714,768,827
634,714,768,828
635,714,767,828
635,713,768,828
634,713,768,828
635,712,768,828
634,713,768,827
635,713,768,828
634,713,768,828
634,713,768,827
635,713,767,827
636,714,768,827
634,712,768,827
635,713,768,827
634,713,768,827
635,713,767,827
634,712,768,827
633,712,769,826
635,712,767,828
633,710,772,824
634,713,764,828
634,709,773,823
632,709,775,821
633,715,764,830
634,710,769,825
631,712,770,826
636,714,763,829
636,713,765,829
635,712,767,828
636,712,767,829
631,710,771,824
633,711,771,824
634,714,763,830
636,714,763,828
634,712,767,827
634,712,768,827
634,712,766,827
633,712,766,827
634,712,767,827
633,712,767,827
634,712,767,827
633,711,767,827
635,712,767,828
634,711,768,827
633,711,768,827
633,710,767,828
633,712,767,828
634,712,768,827
633,711,767,827
633,711,767,827
634,711,768,826
633,711,767,827
633,712,766,828
633,710,766,828
634,711,767,828
633,710,768,826
633,711,768,826
632,711,767,827
633,711,766,827
633,711,767,827
634,710,768,827
633,711,768,826
633,710,767,827
633,711,768,826
634,711,767,827
633,710,767,827
633,711,766,827
633,711,767,827
633,711,766,828
633,711,767,828
